Назва,Вид,Місто,Сайт,Пошта (Email)
"Фільварки-центр","Готель / Гостиниця","Україна","",""
"Санаторій-профілакторій «Чайка»","Готель / Гостиниця","Україна","",""
"Б/о ""Моряк""","Готель / Гостиниця","Україна","",""
"Santa Villa","Готель / Гостиниця","Україна","",""
"Чисте джерело","Готель / Гостиниця","Україна","",""
"База відпочинку ""Адмірал""","Готель / Гостиниця","Україна","http://www.admiral-hotel.com.ua","admiralhotel2017@gmail.com"
"Пансіонат ""Агарський мис""","Готель / Гостиниця","Україна","",""
"Морской курорт ""Ореанда""","Готель / Гостиниця","Україна","",""
"Санаторій ""Арктика""","Готель / Гостиниця","Україна","",""
"Садиба ""Фурмі""","Готель / Гостиниця","Україна","https://www.hotelfurmi.com/","info@hotelfurmi.com"
"Готель ""У сестер""","Готель / Гостиниця","Україна","http://usester.com.ua/","shidnica.u.sester@gmail.com"
"Садиба ""У Єви""","Готель / Гостиниця","Україна","",""
"Котедж ""Лісовичок""","Готель / Гостиниця","Україна","",""
"Садиба ""Стефані""","Готель / Гостиниця","Україна","",""
"Готель ""Ксенія""","Готель / Гостиниця","Україна","",""
"Садиба ""Медова""","Готель / Гостиниця","Україна","",""
"Садиба ""На Зарічній""","Готель / Гостиниця","Україна","",""
"Вілла ""Milaro""","Готель / Гостиниця","Україна","",""
"Елеганс","Готель / Гостиниця","Україна","",""
"ДОЛ Зірковий","Готель / Гостиниця","Україна","",""
"Турбаза «Лісова галявина»","Готель / Гостиниця","Україна","",""
"Premier Compass Hotel","Готель / Гостиниця","Україна","",""
"ПЛ Орбита","Готель / Гостиниця","Україна","",""
"Слов’янський","Готель / Гостиниця","Україна","",""
"Сакура","Готель / Гостиниця","Україна","",""
"Цезарь","Готель / Гостиниця","Україна","",""
"Острів","Готель / Гостиниця","Кременець","",""
"Улич","Готель / Гостиниця","Україна","",""
"Дитячий скаутський табір Інтерпайп Pipeland","Готель / Гостиниця","Україна","",""
"Курортный отель «Гавань»","Готель / Гостиниця","Україна","https://villagavan.com/","info@villagavan.com"
"Станіславів","Готель / Гостиниця","Україна","",""
"Соняхи","Готель / Гостиниця","Україна","",""
"JJ","Готель / Гостиниця","Україна","http://jj-world.com.ua/hotel/index.html","reserv@jjworld.com.ua"
"Оріон","Готель / Гостиниця","Україна","",""
"Оазис-М","Готель / Гостиниця","Бабин","",""
"Венеція","Готель / Гостиниця","Україна","",""
"Аерополь","Готель / Гостиниця","Україна","http://aeropol-hotel.com","aeropol_hotel@mail.ru"
"Oland","Готель / Гостиниця","Україна","",""
"Дива","Готель / Гостиниця","Україна","",""
"Велосадиба Bed&Bike Tours","Готель / Гостиниця","Дубриничі","",""
"Туристический комплекс ""Яхонт""","Готель / Гостиниця","Україна","",""
"База відпочинку ""Любич""","Готель / Гостиниця","Україна","https://lyubych.blogspot.com/",""
"Гостевой дом «Алина»","Готель / Гостиниця","Україна","",""
"Навруз","Готель / Гостиниця","Україна","",""
"Порто Рива","Готель / Гостиниця","Україна","",""
"Курортно-готельний комплекс „Едем-Коблеве“","Готель / Гостиниця","Україна","",""
"Ле Марк","Готель / Гостиниця","Україна","",""
"Санаторій","Готель / Гостиниця","Україна","",""
"Садиба ""Арніка""","Готель / Гостиниця","Україна","",""
"Котедж ""Людмила""","Готель / Гостиниця","Україна","",""
"Кінний комплекс та екоготель FRIESLAND (Верхнє Синьовидне)","Готель / Гостиниця","Україна","",""
"Власика","Готель / Гостиниця","Україна","",""
"Пансионат ""Ялтас""","Готель / Гостиниця","Україна","",""
"Гостевой дом ""У Надежды""","Готель / Гостиниця","Україна","",""
"Сказочный дворик","Готель / Гостиниця","Україна","",""
"Изумрудная","Готель / Гостиниця","Україна","",""
"У Максима","Готель / Гостиниця","Україна","",""
"Люкс (Royal)","Готель / Гостиниця","Україна","",""
"міні-готель Сімейний Відпочинок 233а","Готель / Гостиниця","Україна","",""
"Алие","Готель / Гостиниця","Україна","",""
"Вікинг Карпати","Готель / Гостиниця","Україна","",""
"Antaliya","Готель / Гостиниця","Україна","",""
"отель Золотой","Готель / Гостиниця","Лесновское сельское поселение","","letokrim.in.ua@yandex.ru"
"Миллениум","Готель / Гостиниця","Україна","",""
"Villa Classic","Готель / Гостиниця","Україна","http://classic-koktebel.com","villaclassic@yandex.ru"
"Борис","Готель / Гостиниця","Україна","",""
"Омега-клуб","Готель / Гостиниця","Україна","",""
"Мотель-ресторан ""Вулик""","Готель / Гостиниця","Україна","",""
"Санаторій ""Пролісок""","Готель / Гостиниця","Україна","",""
"Снігові Вершини","Готель / Гостиниця","Україна","",""
"Буржуа","Готель / Гостиниця","Україна","",""
"Мисливська","Готель / Гостиниця","Україна","https://restlib.com.ua/uk/shacki-ozera/prozhyvannya/s-pulemec/kotedzh/kotedzh-myslyvska-sadyba",""
"База отдыха ""Штормовое""","Готель / Гостиниця","Україна","",""
"Salute","Готель / Гостиниця","Україна","",""
"Тополь-2","Готель / Гостиниця","Україна","",""
"Будаки","Готель / Гостиниця","Україна","",""
"Готель-садиба ""Куба-Далеко""","Готель / Гостиниця","Україна","",""
"Kilimbeyka Hotel","Готель / Гостиниця","Україна","",""
"Кінний двір","Готель / Гостиниця","Україна","",""
"Відпочинок у моря","Готель / Гостиниця","Лазурне","",""
"Садиба У Шкирти","Готель / Гостиниця","Україна","",""
"Дідів рай","Готель / Гостиниця","Україна","",""
"Кичера","Готель / Гостиниця","Україна","",""
"У Міші та Віри","Готель / Гостиниця","Україна","https://pylypec-karpaty.io.ua/",""
"Готель SN","Готель / Гостиниця","Україна","",""
"Садиба ""Гимба""","Готель / Гостиниця","Україна","",""
"Международный молодежный центр iCamp","Готель / Гостиниця","Україна","",""
"У Лукоморья","Готель / Гостиниця","Україна","",""
"Парадіс","Готель / Гостиниця","Красилів","",""
"У Коса","Готель / Гостиниця","Україна","",""
"Грибова оселя","Готель / Гостиниця","Україна","",""
"Будинок Художника ""Шипіт""","Готель / Гостиниця","Україна","",""
"У Яслигана","Готель / Гостиниця","Україна","",""
"Волиняночка","Готель / Гостиниця","Україна","",""
"База отдыха ""Лазурный берег""","Готель / Гостиниця","Україна","",""
"Magura","Готель / Гостиниця","Україна","",""
"Монблан","Готель / Гостиниця","Україна","",""
"Дерсу Узала","Готель / Гостиниця","Україна","",""
"Вилла Алубика","Готель / Гостиниця","Україна","",""
"Приватна садиба ""Гусне Виж 114""","Готель / Гостиниця","Україна","http://www.husnewyz114.com.ua/",""
"Приватна садиба ""Бойківська хата""","Готель / Гостиниця","Україна","",""
"Агрооселя","Готель / Гостиниця","Україна","",""
"Гостинна оселя ""На схилах Карпат""","Готель / Гостиниця","Україна","",""
"Котедж „Зелемянка“","Готель / Гостиниця","Україна","",""
"Серфцентр и гостевой дом "" Аквилон""","Готель / Гостиниця","Оленевка","",""
"турбаза «Південний Буг»","Готель / Гостиниця","Україна","",""
"Виолис","Готель / Гостиниця","Україна","",""
"Міжгір'я","Готель / Гостиниця","Україна","",""
"Radisson Blu Resort","Готель / Гостиниця","Поляниця","https://www.radissonblu.com/uk/resort-bukovel","info.bukovel@radissonblu.com"
"Магія Карпат","Готель / Гостиниця","Україна","",""
"Степан і Марія","Готель / Гостиниця","Славське","https://karpaty-slav.com/zhytlo-ulych.html","info@karpaty-slav.com; karpaty.slavsko@gmail.com"
"Dodo","Готель / Гостиниця","Україна","",""
"Александр","Готель / Гостиниця","Україна","",""
"Детский оздоровительный центр ""Прибрежный""","Готель / Гостиниця","Україна","",""
"Золото Карпат","Готель / Гостиниця","Україна","",""
"Царська гора","Готель / Гостиниця","Україна","",""
"Стимул","Готель / Гостиниця","Україна","",""
"Формула плюс","Готель / Гостиниця","Україна","",""
"б/о ""Звездочка""","Готель / Гостиниця","Україна","",""
"Трембита","Готель / Гостиниця","Україна","",""
"Ривненчанка","Готель / Гостиниця","Україна","",""
"Галчонок","Готель / Гостиниця","Україна","",""
"Наш Парус","Готель / Гостиниця","Україна","",""
"L&M","Готель / Гостиниця","Мукачево","",""
"База отдыха ""Баланово""","Готель / Гостиниця","Баланово","",""
"Хижки","Готель / Гостиниця","Україна","",""
"Садиби зеленого туризму ""Старий Хутір""","Готель / Гостиниця","Україна","",""
"Room","Готель / Гостиниця","Україна","",""
"Чічка","Готель / Гостиниця","Україна","",""
"Reikartz Zaporizhzhya","Готель / Гостиниця","Україна","",""
"Пента Хаус","Готель / Гостиниця","Україна","","penta_house@mail.ru"
"Na horyzonti","Готель / Гостиниця","Україна","",""
"У Дмитра","Готель / Гостиниця","Україна","",""
"Білогір'я","Готель / Гостиниця","Україна","http://yaremchavilla.com.ua/kontaktna-informaciya.html",""
"Рубель","Готель / Гостиниця","Україна","",""
"База відпочинку «Арніка»","Готель / Гостиниця","Україна","",""
"Поляна кохання","Готель / Гостиниця","Україна","",""
"Над Стрипою","Готель / Гостиниця","Україна","",""
"Комплекс відпочинку Лісовий","Готель / Гостиниця","Україна","",""
"Троянда Закарпаття","Готель / Гостиниця","Україна","",""
"Virtuoso","Готель / Гостиниця","Україна","",""
"Сонячнє Закарпаття (корпус 2)","Готель / Гостиниця","Україна","",""
"Шовкова косіця","Готель / Гостиниця","Україна","",""
"Ведмежа гора","Готель / Гостиниця","Україна","",""
"Відпочинкова база ""Варвара""","Готель / Гостиниця","Україна","",""
"Зустріч","Готель / Гостиниця","Україна","",""
"П'ять озер","Готель / Гостиниця","Україна","",""
"Гостевой дом «Тихий дворик»","Готель / Гостиниця","Отрадное","",""
"Вівчарик","Готель / Гостиниця","Україна","",""
"Гоголь","Готель / Гостиниця","Україна","",""
"Готель ""Чигирин""","Готель / Гостиниця","Україна","",""
"Garden Hall","Готель / Гостиниця","Україна","",""
"Політ","Готель / Гостиниця","Озерне","",""
"Яйла","Готель / Гостиниця","Приятное Свидание","",""
"Жокей","Готель / Гостиниця","Україна","",""
"Орхідея","Готель / Гостиниця","Україна","",""
"У Бури","Готель / Гостиниця","Луги","",""
"Перший кордон","Готель / Гостиниця","Україна","",""
"Орестина","Готель / Гостиниця","Сколе","",""
"Гранд-Палас","Готель / Гостиниця","Україна","",""
"Glebovka Hotel","Готель / Гостиниця","Україна","https://glebovka.kiev.ua/","info@glebovka.kiev.ua"
"Сонячна Поляна","Готель / Гостиниця","Україна","",""
"Сольва - Solva","Готель / Гостиниця","Україна","https://www.solvahotel.com/","sales.solvaresort@gmail.com"
"3 медведя","Готель / Гостиниця","Україна","https://hashevoe.com.ua/otel",""
"База відпочинку ""Метро""","Готель / Гостиниця","Україна","http://www.metro.kiev.ua/node/1062",""
"База відпочинку ""Авісма""","Готель / Гостиниця","Україна","",""
"База відпочинку ""Гусарський стан""","Готель / Гостиниця","Україна","",""
"База відпочинку ""Зелений гай""","Готель / Гостиниця","Україна","http://zel.in.ua",""
"Санаторій ""Черче""","Готель / Гостиниця","Україна","",""
"Жуляни Сіті","Готель / Гостиниця","Україна","","zhuliany.city@gmail.com"
"Оздоровчий комплекс «Ужанські купелі»","Готель / Гостиниця","Україна","http://uzhanski-kupeli.com.ua",""
"Club Visson","Готель / Гостиниця","Україна","",""
"Туркомплекс Едельвейс","Готель / Гостиниця","Україна","https://karpatu.com/","info@karpatu.com; info@www.karpatu.com"
"Закарпатський Оазис","Готель / Гостиниця","Україна","",""
"ДОЛ Космос","Готель / Гостиниця","Україна","",""
"Апарт-готель Рафнівський","Готель / Гостиниця","Люта","",""
"Парк-Готель ""Древній Град""","Готель / Гостиниця","Україна","https://www.drevnygrad.com.ua/","info@drevnygrad.com.ua"
"Над Черемошем","Готель / Гостиниця","Україна","",""
"Пансіонат ""Черемош""","Готель / Гостиниця","Україна","",""
"Пансіонат ""Зелені пагорби""","Готель / Гостиниця","Україна","",""
"Готельний комплекс ""Фредерік Коклен""","Готель / Гостиниця","Україна","",""
"Готелний комплекс ""Промінада""","Готель / Гостиниця","Україна","",""
"Два Місяця","Готель / Гостиниця","Україна","",""
"Готель ""Моцарт""","Готель / Гостиниця","Україна","https://mozart-hotel.com/","sales@mozart-hotel.com; conference@mozart-hotel.com; reception@mozart-hotel.com; restaurant@mozart-hotel.com; conf@mozart-hotel.com; marketing@mozart-group.com"
"У Попа","Готель / Гостиниця","Україна","",""
"Гірська казка","Готель / Гостиниця","Україна","",""
"Контіненталь","Готель / Гостиниця","Україна","",""
"Своя колея","Готель / Гостиниця","Україна","",""
"Міжрейсова база моряків","Готель / Гостиниця","Україна","",""
"Центр відпочинку ""Аркадія Плаза""","Готель / Гостиниця","Україна","",""
"Пансіонат ""Будинок Павлових""","Готель / Гостиниця","Україна","",""
"Этюд","Готель / Гостиниця","Україна","",""
"Квитка","Готель / Гостиниця","Україна","",""
"Готельно-ресторанний комплекс ""Palace del Mar""","Готель / Гостиниця","Україна","",""
"Центр відпочинку ""Морський""","Готель / Гостиниця","Україна","",""
"«GS» Art & SPA Villa","Готель / Гостиниця","Україна","","booking@gsvilla.su"
"""Элит""","Готель / Гостиниця","Україна","",""
"Corsica","Готель / Гостиниця","Україна","",""
"Готельно-розважальний комплекс ""Улісс""","Готель / Гостиниця","Україна","",""
"Готель ""Хатки Руслани""","Готель / Гостиниця","Україна","http://www.hatkyruslany.com.ua/index.php",""
"Фазенда у моря","Готель / Гостиниця","Україна","",""
"Боркут","Готель / Гостиниця","Україна","",""
"Кришталевий водограй","Готель / Гостиниця","Україна","",""
"Оздоровчий комплекс ""Маяк"" КПІ","Готель / Гостиниця","Україна","",""
"ДОЦ ""Воронеж""","Готель / Гостиниця","Україна","",""
"Ерідан (баня)","Готель / Гостиниця","Україна","",""
"Ерідан","Готель / Гостиниця","Україна","",""
"Снігова королева","Готель / Гостиниця","Україна","",""
"Добош","Готель / Гостиниця","Україна","",""
"Шовкова Косиця","Готель / Гостиниця","Україна","",""
"Адреналін","Готель / Гостиниця","Україна","",""
"Піпаш","Готель / Гостиниця","Україна","",""
"Ступарь","Готель / Гостиниця","Україна","",""
"Котедж-1","Готель / Гостиниця","Україна","",""
"Котедж-2","Готель / Гостиниця","Україна","",""
"La Romani","Готель / Гостиниця","Україна","",""
"Зелена Діброва","Готель / Гостиниця","Україна","",""
"У стозі","Готель / Гостиниця","Україна","",""
"Орлиное","Готель / Гостиниця","Орлиное","",""
"Усадьба ""Белый остров""","Готель / Гостиниця","Україна","",""
"Садиба ""Злагода""","Готель / Гостиниця","Україна","",""
"George Palace","Готель / Гостиниця","Україна","",""
"Урарту","Готель / Гостиниця","Україна","",""
"База відпочинку ""ТОВ ""Десна""""","Готель / Гостиниця","Україна","",""
"База відпочинку ""Десна""","Готель / Гостиниця","Україна","",""
"Кевсер","Готель / Гостиниця","Україна","",""
"Krakow","Готель / Гостиниця","Україна","",""
"Айдар","Готель / Гостиниця","Україна","",""
"Поляна Сказок","Готель / Гостиниця","Україна","","booking@polyana-skazok.com"
"Готель ""Вишиванка""","Готель / Гостиниця","Україна","",""
"Черкаси Палац","Готель / Гостиниця","Україна","",""
"Готель-кафе ""Стадіон""","Готель / Гостиниця","Україна","http://www.tetiivhotel.net/",""
"Мануфактура","Готель / Гостиниця","Ходосівка","",""
"База отдыха ""Азов""","Готель / Гостиниця","Україна","",""
"Псел","Готель / Гостиниця","Україна","","dosug24@ukr.net"
"Vizit Hotel Complex","Готель / Гостиниця","Україна","www.hotel-visit.com.ua",""
"Мысовое","Готель / Гостиниця","Україна","",""
"МАН","Готель / Гостиниця","Україна","",""
"База відпочинку ""Шепільська""","Готель / Гостиниця","Україна","https://shepilska.com.ua/",""
"Зоя","Готель / Гостиниця","Україна","",""
"Лучик","Готель / Гостиниця","Україна","",""
"Отель «Дом у моря»","Готель / Гостиниця","Україна","",""
"Alpen hotel","Готель / Гостиниця","Україна","https://alpenhotel.business.site",""
"ДОЛ ""Гайдаровец""","Готель / Гостиниця","Україна","",""
"Готель «Монсеньйор»","Готель / Гостиниця","Україна","https://mon-signor.com.ua/",""
"Усадьба ""Межгорье""","Готель / Гостиниця","Межгорье","","info@mejgorie.com"
"Дом лесника","Готель / Гостиниця","Україна","",""
"Городок","Готель / Гостиниця","Україна","",""
"Grant","Готель / Гостиниця","Україна","https://grant-hotel.kh.ua/","info@grant-hotel.kh.ua"
"Villa Plaza","Готель / Гостиниця","Україна","",""
"Мішин Сіті","Готель / Гостиниця","Добрівляни","",""
"Міні-готель «Царицино»","Готель / Гостиниця","Україна","",""
"Гостьовий будинок «Царська хата»","Готель / Гостиниця","Україна","",""
"Гостевой дом «У озера»","Готель / Гостиниця","Україна","",""
"Коттеджи «У Сергея»","Готель / Гостиниця","Україна","",""
"Гостевой дом «Лагуна»","Готель / Гостиниця","Україна","",""
"База відпочинку ""Селена""","Готель / Гостиниця","Україна","",""
"Гостьовий будинок «Затишний Дворик»","Готель / Гостиниця","Україна","",""
"Шале КрепДеШин","Готель / Гостиниця","Україна","",""
"Парк-готель «Швейцарія»","Готель / Гостиниця","Обарів","https://park-hotel.rv.ua/","hotel@park-hotel.rv.ua"
"Фрумушика-Нова","Готель / Гостиниця","Україна","",""
"Турійське подвір'я","Готель / Гостиниця","Україна","http://turpodvirya.com/",""
"У Олени","Готель / Гостиниця","Україна","",""
"Вілла Пліснесько","Готель / Гостиниця","Україна","",""
"""Великий Став"" туристична база","Готель / Гостиниця","Україна","http://www.vstav.com.ua/",""
"Приватна садиба ""Івашківці""","Готель / Гостиниця","Україна","",""
"Зеленый уголок","Готель / Гостиниця","Україна","",""
"Готельно-ресторанний комплекс ""Царівка""","Готель / Гостиниця","Україна","https://ua.carivka.com.ua","carivka@carivka.com.ua"
"Озерний Край","Готель / Гостиниця","Україна","","reservation@o-k.in.ua"
"BRA","Готель / Гостиниця","Україна","",""
"Габріелла","Готель / Гостиниця","Україна","",""
"Guest House in Drachino","Готель / Гостиниця","Україна","",""
"туристична база","Готель / Гостиниця","Україна","",""
"Петрова садиба","Готель / Гостиниця","Україна","",""
"Форос","Готель / Гостиниця","Форос","","booking@parkforos.ru"
"Анастасія котедж","Готель / Гостиниця","Україна","https://restlib.com.ua/uk/shacki-ozera/prozhyvannya/s-pulemec/kotedzh/kotedzh-sadyba-anastasiya",""
"Готель-Ресторан ""Козацька Застава""","Готель / Гостиниця","Україна","http://kozachka.com.ua","restoran_kozachka89@mail.ua"
"Оздоровчий табір ""Світязь""","Готель / Гостиниця","Україна","","schoolint@ukrpost.ua"
"База Відпочинку ""Співдружність""","Готель / Гостиниця","Україна","",""
"Сосновий Бір Світязь","Готель / Гостиниця","Україна","",""
"Центр відпочинку Релігійної місії «Карітас-Спес»","Готель / Гостиниця","Україна","",""
"База відпочинку ""Куточок рибалки""","Готель / Гостиниця","Україна","https://locator.biz/ua/svityaz/khostely/baza-vidpochynku-kutochok-rybalky/p/465426/",""
"База відпочинку ЗАТ ""ВОЛИНЬСЕРВІС""","Готель / Гостиниця","Україна","",""
"Відпочинковий комплекс ""Карпатський Замок""","Готель / Гостиниця","Україна","http://karpatsky-zamok.in.ua/",""
"УютПлюс","Готель / Гостиниця","Україна","","yut-plus@inbox.ru"
"Котеджі ""Юлія""","Готель / Гостиниця","Україна","",""
"Приватний сектор ""У Ганса""","Готель / Гостиниця","Україна","",""
"Приватний сектор ""У лисого""","Готель / Гостиниця","Україна","",""
"Приватна садиба ""Чайка""","Готель / Гостиниця","Україна","",""
"Садиба ""Квітова долина""","Готель / Гостиниця","Україна","",""
"Приватний сектор ""Швартуйся""","Готель / Гостиниця","Україна","",""
"Приватний сектор ""Провулок Монастирський""","Готель / Гостиниця","Україна","",""
"База відпочинку ""Едем""","Готель / Гостиниця","Україна","http://edem.net.ua/","somik6v5@bigmir.net"
"Котеджі ""Світязький затишок""","Готель / Гостиниця","Україна","",""
"Котеджі ""Хата Віддихата""","Готель / Гостиниця","Україна","https://shatsk.com/uk/recreations/baza-vidpochynku-derevjanyj-kotedg","ozerosvitjaz@mail.ru"
"Садиба ""Олесине гніздечко""","Готель / Гостиниця","Україна","https://shatsk.com/uk/recreations/olesune_gnizdechko",""
"У Дяді Міши","Готель / Гостиниця","Україна","https://restlib.com.ua/uk/shacki-ozera/prozhyvannya/s-svityaz/pryvatnyy-sektor/pryvatnyy-sektor-u-dyadi-mishy","lutsyksv@gmail.com"
"Приватний сектор ""Садиба Хомича""","Готель / Гостиниця","Україна","",""
"Приватний сектор ""На хвилях Світязя""","Готель / Гостиниця","Україна","",""
"Садиба ""Елізабет""","Готель / Гостиниця","Україна","https://shatsk.com/uk/recreations/elizabet",""
"Садиба ""У Романюка""","Готель / Гостиниця","Україна","https://shatsk.com/uk/recreations/u_romanuka","shatskhelp@gmail.com"
"Приватний сектор ""У Марії""","Готель / Гостиниця","Україна","",""
"Феєрія Світязя","Готель / Гостиниця","Україна","",""
"База відпочинку ""Під грушею""","Готель / Гостиниця","Україна","https://shatsk.com/uk/recreations/pid_grushejy","svit.lanaka@gmail.com; shatskhelp@gmail.com"
"Готельний комплекс ""Між трьох озер""","Готель / Гостиниця","Україна","https://shatsk.com/uk/recreations/between_the_three_lakes",""
"Приватний сектор ""Лілія""","Готель / Гостиниця","Україна","",""
"Приватний сектор ""Сонячне подвір'я""","Готель / Гостиниця","Україна","https://shatsk.com/uk/recreations/sonjachne_podvirja","svit.lanaka@gmail.com; shatskhelp@gmail.com"
"Эрпан","Готель / Гостиниця","Україна","",""
"Петровський Бровар","Готель / Гостиниця","Україна","",""
"Life-n-Action","Готель / Гостиниця","Україна","",""
"Собінь","Готель / Гостиниця","Україна","http://hotelsobin.com/","hotelsobin@gmail.com"
"Prince","Готель / Гостиниця","Хуст","",""
"Полянський Замок","Готель / Гостиниця","Україна","",""
"У Ґави","Готель / Гостиниця","Україна","",""
"Отель-ресторан ""Leo Palace""","Готель / Гостиниця","Черноморское","",""
"Соколине гніздо","Готель / Гостиниця","Україна","",""
"Золота Форель","Готель / Гостиниця","Україна","",""
"Санаторий ""Голубая Волна""","Готель / Гостиниця","Україна","",""
"Санаторий ""Северное Сияние""","Готель / Гостиниця","Україна","",""
"Пансионат ""Солнечный Берег""","Готель / Гостиниця","Україна","",""
"Готель Буковель","Готель / Гостиниця","Україна","",""
"База відпочинку ""Сонячна галявина""","Готель / Гостиниця","Україна","",""
"Naturalist","Готель / Гостиниця","Україна","",""
"Садиба Мисливська","Готель / Гостиниця","Україна","",""
"База відпочинку ""Золотий берег""","Готель / Гостиниця","Україна","https://golden-beach.com.ua/",""
"База відпочинку ""Посейдон""","Готель / Гостиниця","Україна","",""
"Summer Hotel","Готель / Гостиниця","Україна","https://summerhotel.zp.ua/",""
"База відпочинку ""Південний берег""","Готель / Гостиниця","Україна","",""
"Готельний комплекс ""Відібор""","Готель / Гостиниця","Україна","",""
"Готель ""Рута""","Готель / Гостиниця","Україна","https://ruta-berdyansk.com/","aleks.lem22@gmail.com"
"Пансіонат ""Славутич""","Готель / Гостиниця","Україна","http://www.slavutich-azov.org",""
"Гірський затишок","Готель / Гостиниця","Україна","",""
"Лавина","Готель / Гостиниця","Поляниця","","lavinahotelbukovel@gmail.com"
"Fazenda","Готель / Гостиниця","Україна","",""
"Смотрич","Готель / Гостиниця","Dzembronia","",""
"Ahiska","Готель / Гостиниця","Україна","",""
"Весела бджілка","Готель / Гостиниця","Україна","",""
"ХСК ""Атлантида""","Готель / Гостиниця","Україна","",""
"Садиба ""Синьогірська""","Готель / Гостиниця","Україна","",""
"Садиба ""У Василя""","Готель / Гостиниця","Україна","",""
"Кінно-спортивний клуб ""Родео""","Готель / Гостиниця","Україна","",""
"Турбаза ""Синевирське озеро""","Готель / Гостиниця","Україна","",""
"Арінка","Готель / Гостиниця","Синевирська Поляна","https://arnicahotel.com.ua/","arnika.synevir@gmail.com"
"Чудодієво в Чинадійові","Готель / Гостиниця","Чинадійово","",""
"Наріман","Готель / Гостиниця","Україна","",""
"Світлий Берег","Готель / Гостиниця","Україна","",""
"Совиньон","Готель / Гостиниця","Николаевка","",""
"Чумацкий Шлях","Готель / Гостиниця","Україна","",""
"Готель-ресторан ""7 Ветров""","Готель / Гостиниця","Україна","",""
"Гермес","Готель / Гостиниця","Україна","",""
"Приватна садиба «Затишок»","Готель / Гостиниця","Україна","",""
"база відпочинку ""Ювілейний""","Готель / Гостиниця","Україна","",""
"Спортивно-оздоровчий табір ""Академічний""","Готель / Гостиниця","Україна","",""
"База відпочинку ""Дружба""","Готель / Гостиниця","Україна","",""
"Пансіонат ""Ювілейний""","Готель / Гостиниця","Україна","",""
"Пансіонат ""Хвиля""","Готель / Гостиниця","Україна","",""
"ДОЛ Нефтяник","Готель / Гостиниця","Україна","",""
"ДОЛ Романтик","Готель / Гостиниця","Україна","",""
"Дитячий табір ""Слава""","Готель / Гостиниця","Україна","",""
"СОК ""Червоні вітрила""","Готель / Гостиниця","Україна","",""
"ДОЛ Радуга","Готель / Гостиниця","Україна","",""
"ДОЛ Таврія","Готель / Гостиниця","Україна","",""
"Tsargrad","Готель / Гостиниця","Мила","",""
"Пансіонат „Лотос“","Готель / Гостиниця","Україна","",""
"Комплекс „Актея“","Готель / Гостиниця","Україна","",""
"Готельний комплекс ""Маріон""","Готель / Гостиниця","Україна","",""
"Green Cape Hotel","Готель / Гостиниця","Україна","",""
"Ремзи","Готель / Гостиниця","Україна","",""
"Шератон","Готель / Гостиниця","Україна","",""
"Відпочинок у Галини","Готель / Гостиниця","Україна","",""
"Елітний відпочинок","Готель / Гостиниця","Україна","",""
"Готель-ресторан Family","Готель / Гостиниця","Mохнате","",""
"Емігранд Art Hotel","Готель / Гостиниця","Україна","https://emigrand.com/","welcome@emigrand.com"
"У Пуха","Готель / Гостиниця","Україна","",""
"Grofa","Готель / Гостиниця","Україна","",""
"Максімум","Готель / Гостиниця","Україна","",""
"MarMaros","Готель / Гостиниця","Україна","",""
"Бізнес-клуб „21 Нірвана”","Готель / Гостиниця","Україна","",""
"Поляницький","Готель / Гостиниця","Поляниця","","hristinavasilkova@gmail.com"
"Замок Бельведер","Готель / Гостиниця","Україна","",""
"Готельно-ресторанний комплекс «Бест»","Готель / Гостиниця","Україна","http://www.best.km.ua",""
"Bavaria Hotel","Готель / Гостиниця","Україна","https://bavaria.kiev.ua/",""
"Шервуд Готель & Резорт","Готель / Гостиниця","Україна","https://sherwood-resort.com/","sherwood.lviv@gmail.com"
"Чарівна Долина","Готель / Гостиниця","Родатичі","","magicvalley@ukr.net"
"Чарівні озера","Готель / Гостиниця","Україна","","admincharivni@ukr.net"
"Готель ""Титан""","Готель / Гостиниця","Україна","",""
"Синьків","Готель / Гостиниця","Україна","",""
"Усадьба Отрада","Готель / Гостиниця","Україна","",""
"Гостевой дом Дионис","Готель / Гостиниця","Україна","",""
"Отдых и точка","Готель / Гостиниця","Черноморское сельское поселение","",""
"Гостевой дом Казантипская хижина","Готель / Гостиниця","Україна","",""
"Пансионат Визит","Готель / Гостиниця","Україна","",""
"Пансионат Жемчужина","Готель / Гостиниця","Україна","",""
"Мини-отель Соренто","Готель / Гостиниця","Україна","",""
"Казантип-центр","Готель / Гостиниця","Україна","",""
"Наш Казантип","Готель / Гостиниця","Україна","",""
"Шаланецька Садиба","Готель / Гостиниця","Україна","",""
"Серед Лісу","Готель / Гостиниця","Україна","",""
"Готель Royal","Готель / Гостиниця","Україна","",""
"Retro Malyn Hotel","Готель / Гостиниця","Україна","",""
"Акваторія","Готель / Гостиниця","Україна","",""
"Мальта","Готель / Гостиниця","Україна","http://terra7.od.ua/bases-of-rest/baza-otdyxa-malta/","terra7@mail.ua"
"Альба","Готель / Гостиниця","Україна","","alba-zatoka@ukr.net"
"Wall Street Hotel","Готель / Гостиниця","Україна","https://ws-hotel.com/ua","reception@ws-hotel.com"
"Грибова Хата","Готель / Гостиниця","Україна","https://grybovahata.com.ua","test@test.ua"
"Синя Гора","Готель / Гостиниця","Україна","",""
